Rk,Ht,From,To,Tm,Lg,Player,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
473,6-8,2000,2001,SAS,NBA,Sean Elliott\elliose01,71,53,1620,185,445,117,279,68,166,85,116,23,194,217,109,35,27,70,114,523,0.416,0.419,0.41,0.492,0.733,0.527
474,6-7,2000,2000,TOT,NBA,Dale Ellis\ellisda01,42,5,564,66,159,29,59,37,100,9,13,13,43,56,14,13,0,20,45,178,0.415,0.492,0.37,0.531,0.692,0.54
475,6-8,2000,2003,TOT,NBA,LaPhonso Ellis\ellisla01,261,30,5725,796,1820,721,1546,75,274,338,459,448,780,1228,223,144,151,264,707,2005,0.437,0.466,0.274,0.458,0.736,0.496
476,6-3,2006,2017,TOT,NBA,Monta Ellis\ellismo01,833,713,29011,5723,12688,4986,10339,737,2349,2675,3463,520,2354,2874,3856,1409,281,2246,1950,14858,0.451,0.482,0.314,0.48,0.772,0.523
477,6-9,2000,2001,TOT,NBA,Pervis Ellison\ellispe01,39,5,309,21,50,21,50,0,0,17,23,31,48,79,16,10,10,16,80,59,0.42,0.42,,0.42,0.739,0.491
478,7-0,2004,2012,TOT,NBA,Francisco Elson\elsonfr01,472,149,7207,725,1517,722,1501,3,16,273,390,497,1141,1638,260,228,255,355,1000,1726,0.478,0.481,0.188,0.479,0.7,0.511
479,6-10,2003,2014,TOT,NBA,Melvin Ely\elyme01,375,55,6005,783,1702,783,1699,0,3,426,682,448,767,1215,261,99,209,392,765,1992,0.46,0.461,0,0.46,0.625,0.497
480,7-0,2017,2018,PHI,NBA,Joel Embiid\embiijo01,94,94,2698,710,1485,608,1173,102,312,550,711,204,729,933,265,67,187,351,321,2072,0.478,0.518,0.327,0.512,0.774,0.576
481,6-5,2005,2012,TOT,NBA,Andre Emmett\emmetan01,14,0,73,6,13,6,12,0,1,8,13,2,6,8,1,2,1,3,6,20,0.462,0.5,0,0.462,0.615,0.534
482,6-6,2013,2013,DET,NBA,Kim English\engliki01,41,0,407,42,112,28,62,14,50,21,29,8,29,37,26,16,3,19,46,119,0.375,0.452,0.28,0.438,0.724,0.477
483,6-7,2015,2018,TOT,NBA,James Ennis\ennisja01,220,58,4485,483,1065,324,622,159,443,287,354,214,487,701,204,134,59,173,416,1412,0.454,0.521,0.359,0.528,0.811,0.578
484,6-3,2015,2018,TOT,NBA,Tyler Ennis\ennisty01,186,21,2336,320,763,254,555,66,208,73,95,48,202,250,359,98,18,171,233,779,0.419,0.458,0.317,0.463,0.768,0.484
485,7-0,2011,2012,TOT,NBA,Semih Erden\erdense01,69,17,928,101,185,101,185,0,0,60,101,57,133,190,29,25,29,50,164,262,0.546,0.546,,0.546,0.594,0.571
486,6-11,2000,2003,TOT,NBA,Evan Eschmeyer\eschmev01,153,65,2138,158,341,158,341,0,0,105,169,220,381,601,76,69,95,96,399,421,0.463,0.463,,0.463,0.621,0.507
487,6-0,2018,2018,LAC,NBA,Jawun Evans\evansja01,48,4,778,89,253,74,199,15,54,38,49,9,75,84,100,36,6,44,97,231,0.352,0.372,0.278,0.381,0.776,0.421
488,6-9,2011,2018,TOT,NBA,Jeremy Evans\evansje01,250,9,2626,364,640,358,614,6,26,145,211,239,402,641,107,90,121,85,291,879,0.569,0.583,0.231,0.573,0.687,0.6
489,6-5,2002,2012,TOT,NBA,Maurice Evans\evansma01,562,123,10918,1429,3231,1003,2059,426,1172,463,590,559,825,1384,420,294,88,278,956,3747,0.442,0.487,0.363,0.508,0.785,0.537
490,6-8,2003,2015,TOT,NBA,Reggie Evans\evansre01,809,372,15572,1107,2379,1106,2368,1,11,1074,2036,1984,3781,5765,458,566,115,897,1895,3289,0.465,0.467,0.091,0.466,0.528,0.502
491,6-6,2010,2018,TOT,NBA,Tyreke Evans\evansty01,525,408,16840,3253,7318,2830,5986,423,1332,1712,2255,467,2052,2519,2686,676,204,1371,1191,8641,0.445,0.473,0.318,0.473,0.759,0.52
492,6-3,2006,2007,LAC,NBA,Daniel Ewing\ewingda01,127,8,1683,162,416,126,294,36,122,71,91,32,126,158,174,69,10,107,148,431,0.389,0.429,0.295,0.433,0.78,0.473
493,6-8,2011,2011,NOH,NBA,Patrick Ewing\ewingpa02,7,0,19,0,5,0,3,0,2,3,4,1,1,2,2,0,1,1,1,3,0,0,0,0,0.75,0.222
494,7-0,2000,2002,TOT,NBA,Patrick Ewing\ewingpa01,206,145,5043,803,1792,803,1787,0,5,473,668,324,1128,1452,185,111,220,358,554,2079,0.448,0.449,0,0.448,0.708,0.498
495,6-6,2015,2018,UTA,NBA,Dante Exum\exumda01,162,67,3280,342,866,210,435,132,431,103,136,61,228,289,352,70,29,218,313,919,0.395,0.483,0.306,0.471,0.757,0.496
496,6-5,2011,2012,TOT,NBA,Christian Eyenga\eyengch01,51,18,1049,136,331,110,237,26,94,22,36,31,106,137,40,37,33,50,85,320,0.411,0.464,0.277,0.45,0.611,0.461
497,6-11,2013,2016,GSW,NBA,Festus Ezeli\ezelife01,170,61,2394,275,536,275,536,0,0,162,291,292,433,725,63,48,166,133,328,712,0.513,0.513,,0.513,0.557,0.536
498,6-8,2012,2018,DEN,NBA,Kenneth Faried\farieke01,441,372,11000,2034,3744,2032,3724,2,20,976,1491,1368,2266,3634,450,334,369,593,1098,5046,0.543,0.546,0.1,0.544,0.655,0.573
499,6-2,2007,2017,TOT,NBA,Jordan Farmar\farmajo01,504,40,9840,1460,3452,877,1893,583,1559,385,521,161,797,958,1453,391,56,695,713,3888,0.423,0.463,0.374,0.507,0.739,0.528
500,6-5,2007,2009,TOT,NBA,Desmon Farmer\farmede01,11,0,86,9,29,4,9,5,20,3,3,0,7,7,11,1,0,5,8,26,0.31,0.444,0.25,0.397,1,0.429
501,6-9,2000,2000,GSW,NBA,Tony Farmer\farmeto01,74,9,1199,127,312,119,268,8,44,203,265,118,177,295,74,66,16,82,167,465,0.407,0.444,0.182,0.42,0.766,0.542
502,6-11,2014,2014,BOS,NBA,Vitor Faverani\favervi01,37,8,488,64,147,52,107,12,40,24,37,42,86,128,16,14,27,41,74,164,0.435,0.486,0.3,0.476,0.649,0.502
503,6-10,2011,2018,TOT,NBA,Derrick Favors\favorde01,556,366,14501,2599,5024,2581,4935,18,89,1207,1821,1367,2620,3987,612,442,707,811,1501,6423,0.517,0.523,0.202,0.519,0.663,0.551
504,6-11,2008,2008,TOT,NBA,Nick Fazekas\fazekni01,26,0,269,46,82,46,80,0,2,15,22,34,55,89,11,8,11,13,25,107,0.561,0.575,0,0.561,0.682,0.584
505,6-9,2000,2001,NJN,NBA,Jamie Feick\feickja01,87,17,2390,189,446,186,443,3,3,100,145,276,535,811,73,51,41,66,221,481,0.424,0.42,1,0.427,0.69,0.472
506,5-9,2017,2018,TOT,NBA,Kay Felder\feldeka01,58,0,526,83,228,72,187,11,41,46,61,6,53,59,78,21,8,46,49,223,0.364,0.385,0.268,0.388,0.754,0.438
507,6-10,2016,2018,CHI,NBA,Cristiano Felicio\feliccr01,152,20,2338,295,508,295,502,0,6,139,209,237,409,646,121,47,41,100,245,729,0.581,0.588,0,0.581,0.665,0.608
508,6-6,2014,2014,CLE,NBA,Carrick Felix\felixca01,7,0,38,7,14,5,9,2,5,3,4,1,5,6,4,0,0,4,4,19,0.5,0.556,0.4,0.571,0.75,0.603
509,6-9,2006,2006,SEA,NBA,Noel Felix\felixno01,12,0,82,6,25,5,22,1,3,5,8,3,10,13,2,2,3,8,13,18,0.24,0.227,0.333,0.26,0.625,0.316
510,6-1,2006,2018,TOT,NBA,Raymond Felton\feltora01,938,659,28450,4050,9824,3145,7072,905,2752,1706,2162,548,2285,2833,5044,1134,201,1994,1841,10711,0.412,0.445,0.329,0.458,0.789,0.497
511,6-7,2004,2004,POR,NBA,Desmond Ferguson\fergude01,7,0,32,5,12,2,4,3,8,0,2,0,4,4,1,0,0,1,0,13,0.417,0.5,0.375,0.542,0,0.505
512,6-7,2018,2018,OKC,NBA,Terrance Ferguson\fergute01,61,12,763,70,169,30,49,40,120,9,10,19,28,47,19,24,10,11,83,189,0.414,0.612,0.333,0.533,0.9,0.545
513,6-6,2009,2012,TOT,NBA,Rudy Fernandez\fernaru01,249,10,5965,740,1853,327,706,413,1147,361,430,128,480,608,554,249,40,286,369,2254,0.399,0.463,0.36,0.511,0.84,0.552
514,6-0,2017,2018,TOT,NBA,Yogi Ferrell\ferreyo01,128,50,3479,471,1124,269,589,202,535,156,192,46,314,360,373,106,18,148,243,1300,0.419,0.457,0.378,0.509,0.813,0.538
515,6-10,2000,2003,TOT,NBA,Danny Ferry\ferryda01,257,35,4414,487,1056,320,666,167,390,118,136,145,481,626,207,73,63,154,475,1259,0.461,0.48,0.428,0.54,0.868,0.564
516,7-1,2008,2012,TOT,NBA,Kyrylo Fesenko\fesenky01,135,7,1107,125,252,125,250,0,2,55,134,97,172,269,40,19,53,66,224,305,0.496,0.5,0,0.496,0.41,0.49
517,6-7,2011,2015,TOT,NBA,Landry Fields\fieldla01,255,176,6010,684,1446,564,1085,120,361,243,365,248,844,1092,419,212,45,270,310,1731,0.473,0.52,0.332,0.515,0.666,0.539
518,6-7,2000,2010,TOT,NBA,Michael Finley\finlemi01,806,617,26549,4692,10667,3532,7633,1160,3034,1508,1822,675,2682,3357,2109,645,223,1006,1216,12052,0.44,0.463,0.382,0.494,0.828,0.525
519,6-8,2017,2018,DAL,NBA,Dorian Finney-Smith\finnedo01,102,48,2090,170,454,94,196,76,258,57,76,77,220,297,93,62,29,66,168,473,0.374,0.48,0.295,0.458,0.75,0.485
520,6-1,2000,2014,TOT,NBA,Derek Fisher\fishede01,1075,671,28907,3353,8426,2196,5336,1157,3090,1771,2128,330,1947,2277,3155,1175,87,1206,2376,9634,0.398,0.412,0.374,0.467,0.832,0.515
521,6-3,2006,2006,MIA,NBA,Gerald Fitch\fitchge01,18,1,239,30,89,23,63,7,26,17,23,7,23,30,33,7,5,15,28,84,0.337,0.365,0.269,0.376,0.739,0.424
522,6-9,2001,2006,TOT,NBA,Marcus Fizer\fizerma01,289,35,6032,1103,2536,1082,2426,21,110,555,803,375,965,1340,352,134,81,428,648,2782,0.435,0.446,0.191,0.439,0.691,0.481
523,6-2,2005,2005,TOT,NBA,Luis Flores\florelu01,16,0,77,14,29,9,19,5,10,2,2,1,2,3,11,2,0,11,9,35,0.483,0.474,0.5,0.569,1,0.586
524,6-0,2010,2012,TOT,NBA,Jonny Flynn\flynnjo01,163,90,3738,551,1379,433,1030,118,349,284,351,44,263,307,634,122,7,382,179,1504,0.4,0.42,0.338,0.442,0.809,0.49
525,6-4,2002,2002,MEM,NBA,Isaac Fontaine\fontais01,6,0,75,3,14,2,9,1,5,4,6,0,5,5,4,0,0,4,6,11,0.214,0.222,0.2,0.25,0.667,0.331
526,7-0,2012,2012,NOH,NBA,Jeff Foote\footeje01,4,0,39,2,6,2,6,0,0,0,0,1,5,6,0,0,1,2,5,4,0.333,0.333,,0.333,,0.333
527,6-3,2017,2018,SAS,NBA,Bryn Forbes\forbebr01,116,12,1802,245,596,139,315,106,281,53,78,14,119,133,103,29,2,48,128,649,0.411,0.441,0.377,0.5,0.679,0.515
528,6-7,2011,2012,TOT,NBA,Gary Forbes\forbega01,111,13,1504,236,544,188,403,48,141,125,178,55,163,218,103,47,10,100,133,645,0.434,0.467,0.34,0.478,0.702,0.518
529,6-9,2002,2004,TOT,NBA,Alton Ford\fordal02,73,0,524,70,138,70,138,0,0,46,66,35,89,124,11,6,8,37,115,186,0.507,0.507,,0.507,0.697,0.557
530,6-9,2006,2006,PHO,NBA,Sharrod Ford\fordsh02,3,0,13,2,3,2,3,0,0,0,0,1,2,3,0,0,1,2,7,4,0.667,0.667,,0.667,,0.667
531,6-0,2004,2012,TOT,NBA,T.J. Ford\fordtj01,429,306,11882,1829,4223,1702,3784,127,439,1012,1242,296,1035,1331,2495,496,55,1047,972,4797,0.433,0.45,0.289,0.448,0.815,0.503
532,6-4,2002,2003,TOT,NBA,Joseph Forte\fortejo01,25,0,125,11,47,11,41,0,6,8,10,5,12,17,17,6,0,13,7,30,0.234,0.268,0,0.234,0.8,0.292
533,5-11,2012,2012,TOT,NBA,Courtney Fortson\fortsco01,10,0,95,11,32,8,19,3,13,10,15,6,9,15,10,3,0,10,5,35,0.344,0.421,0.231,0.391,0.667,0.453
534,6-7,2000,2007,TOT,NBA,Danny Fortson\fortsda01,310,114,5604,729,1537,728,1531,1,6,790,986,803,1352,2155,193,107,42,421,1027,2249,0.474,0.476,0.167,0.475,0.801,0.571
535,6-11,2000,2003,TOT,NBA,Greg Foster\fostegr01,157,22,1732,196,488,189,456,7,32,57,78,75,254,329,87,20,39,83,267,456,0.402,0.414,0.219,0.409,0.731,0.437
536,6-11,2000,2012,IND,NBA,Jeff Foster\fosteje01,764,345,15750,1472,2961,1465,2907,7,54,796,1295,2101,3147,5248,703,507,308,613,1921,3747,0.497,0.504,0.13,0.498,0.615,0.531
537,6-10,2002,2002,MEM,NBA,Antonis Fotsis\fotsian01,28,1,320,42,104,35,81,7,23,17,20,25,37,62,10,9,11,21,22,108,0.404,0.432,0.304,0.438,0.85,0.479
538,6-7,2013,2018,TOT,NBA,Evan Fournier\fournev01,376,234,10229,1761,3932,1154,2331,607,1601,802,997,168,836,1004,856,302,32,583,892,4931,0.448,0.495,0.379,0.525,0.804,0.564
539,6-8,2002,2005,TOT,NBA,Tremaine Fowlkes\fowlktr01,103,27,1233,105,257,101,237,4,20,87,110,94,134,228,54,47,6,50,146,301,0.409,0.426,0.2,0.416,0.791,0.493
540,6-3,2018,2018,SAC,NBA,De'Aaron Fox\foxde01,73,60,2026,328,797,281,644,47,153,141,195,33,171,204,320,70,20,173,163,844,0.412,0.436,0.307,0.441,0.723,0.478
541,6-7,2000,2004,LAL,NBA,Rick Fox\foxri01,360,269,9080,1083,2556,721,1526,362,1030,302,384,326,1011,1337,1034,287,94,524,986,2830,0.424,0.472,0.351,0.495,0.786,0.519
542,6-4,2007,2017,TOT,NBA,Randy Foye\foyera01,752,433,19279,2704,6750,1600,3733,1104,3017,1217,1429,245,1441,1686,2112,528,220,1106,1584,7729,0.401,0.429,0.366,0.482,0.852,0.524
543,6-10,2000,2009,TOT,NBA,Adonal Foyle\foylead01,634,268,11790,1197,2475,1197,2474,0,1,301,594,1149,1934,3083,312,236,1098,516,1391,2695,0.484,0.484,0,0.484,0.507,0.492
544,6-5,2004,2008,TOT,NBA,Richie Frahm\frahmri01,140,2,1473,178,433,83,166,95,267,51,63,36,128,164,83,37,10,35,122,502,0.411,0.5,0.356,0.521,0.81,0.545
545,6-3,2000,2008,TOT,NBA,Steve Francis\francst01,576,543,21632,3543,8267,2968,6583,575,1684,2785,3494,960,2255,3215,3473,846,223,2030,1813,10446,0.429,0.451,0.341,0.463,0.797,0.533
546,6-5,2014,2015,TOT,NBA,Jamaal Franklin\frankja01,24,0,174,17,41,11,28,6,13,2,2,5,20,25,9,4,3,14,27,42,0.415,0.393,0.462,0.488,1,0.501
547,6-1,2015,2018,TOT,NBA,Tim Frazier\fraziti01,186,51,3343,348,866,270,617,78,249,184,254,84,342,426,751,144,15,248,329,958,0.402,0.438,0.313,0.447,0.724,0.49
548,6-2,2012,2016,TOT,NBA,Jimmer Fredette\fredeji01,235,7,3148,516,1253,323,747,193,506,191,218,52,184,236,323,91,11,218,217,1416,0.412,0.432,0.381,0.489,0.876,0.525
549,6-10,2013,2015,POR,NBA,Joel Freeland\freeljo01,151,9,1821,209,455,209,453,0,2,59,81,190,328,518,65,32,56,74,255,477,0.459,0.461,0,0.459,0.728,0.486
550,6-10,2005,2007,TOT,NBA,Matt Freije\freijma01,42,11,588,53,181,36,105,17,76,10,14,24,61,85,27,16,3,20,53,133,0.293,0.343,0.224,0.34,0.714,0.355
551,6-11,2006,2018,TOT,NBA,Channing Frye\fryech01,854,439,19431,2888,6538,1871,3911,1017,2627,864,1050,763,3187,3950,844,451,535,774,2211,7657,0.442,0.478,0.387,0.52,0.823,0.547
552,6-9,2004,2004,ATL,NBA,Hiram Fuller\fullehi01,4,0,43,3,8,3,8,0,0,2,6,4,7,11,2,0,1,4,5,8,0.375,0.375,,0.375,0.333,0.376
553,6-11,2000,2001,TOT,NBA,Todd Fuller\fulleto02,51,2,476,61,157,61,157,0,0,40,61,43,85,128,6,12,10,30,56,162,0.389,0.389,,0.389,0.656,0.441
554,6-4,2018,2018,PHI,NBA,Markelle Fultz\fultzma01,14,0,253,45,111,45,110,0,1,10,21,11,32,43,53,12,4,17,22,100,0.405,0.409,0,0.405,0.476,0.416
555,6-9,2000,2005,TOT,NBA,Lawrence Funderburke\fundela01,219,4,2696,454,917,454,912,0,5,210,318,266,420,686,90,53,62,111,227,1118,0.495,0.498,0,0.495,0.66,0.529
556,6-11,2003,2012,TOT,NBA,Dan Gadzuric\gadzuda01,527,164,7793,1049,2100,1049,2092,0,8,367,737,910,1416,2326,196,242,448,357,1250,2465,0.5,0.501,0,0.5,0.498,0.508
557,6-9,2006,2006,PHI,NBA,Deng Gai\gaide01,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
558,6-6,2004,2006,TOT,NBA,Reece Gaines\gainere01,71,1,605,48,148,41,122,7,26,20,33,9,44,53,50,17,3,26,40,123,0.324,0.336,0.269,0.348,0.606,0.378
559,6-1,2010,2012,TOT,NBA,Sundiata Gaines\gainesu01,113,12,1311,182,458,138,312,44,146,100,178,46,129,175,207,83,3,93,100,508,0.397,0.442,0.301,0.445,0.562,0.474
560,6-10,2009,2018,TOT,NBA,Danilo Gallinari\gallida01,481,411,14993,2222,5303,1350,2930,872,2373,2058,2379,361,1891,2252,940,387,212,629,903,7374,0.419,0.461,0.367,0.501,0.865,0.581
561,6-2,2015,2018,TOT,NBA,Langston Galloway\gallola01,259,52,5848,768,1984,434,1058,334,926,233,297,120,606,726,508,210,45,186,441,2103,0.387,0.41,0.361,0.471,0.785,0.497
562,6-9,2007,2008,TOR,NBA,Jorge Garbajosa\garbajo01,74,60,1983,230,554,158,345,72,209,57,78,50,295,345,128,81,15,65,92,589,0.415,0.458,0.344,0.48,0.731,0.501
563,6-9,2001,2001,TOT,NBA,Ruben Garces\garceru01,13,0,73,7,22,7,22,0,0,2,8,16,13,29,5,3,2,5,14,16,0.318,0.318,,0.318,0.25,0.313
564,6-3,2004,2005,TOT,NBA,Alex Garcia\garcial01,10,3,159,19,59,14,41,5,18,4,6,7,8,15,18,6,1,9,15,47,0.322,0.341,0.278,0.364,0.667,0.381
565,6-7,2006,2015,TOT,NBA,Francisco Garcia\garcifr01,549,137,11853,1564,3659,983,2032,581,1627,614,768,278,1122,1400,747,441,388,545,1229,4323,0.427,0.484,0.357,0.507,0.799,0.541
566,6-5,2008,2009,TOT,NBA,Thomas Gardner\gardnth01,20,0,143,18,59,11,24,7,35,2,6,3,8,11,3,4,1,7,8,45,0.305,0.458,0.2,0.364,0.333,0.365
567,6-6,2017,2017,ORL,NBA,Patricio Garino\garinpa01,5,0,43,0,7,0,2,0,5,0,0,1,6,7,0,0,0,3,4,0,0,0,0,0,,0
568,5-10,2001,2001,GSW,NBA,Chris Garner\garnech01,8,0,149,7,37,7,30,0,7,5,6,2,10,12,18,7,1,9,18,19,0.189,0.233,0,0.189,0.833,0.24
569,6-11,2000,2016,TOT,NBA,Kevin Garnett\garneke01,1176,1176,40128,8546,17114,8393,16561,153,553,4187,5231,2456,9812,12268,4514,1451,1510,2567,2797,21432,0.499,0.507,0.277,0.504,0.8,0.552
570,6-10,2000,2002,TOT,NBA,Dean Garrett\garrede01,160,44,1618,141,319,141,319,0,0,45,68,122,292,414,48,41,99,56,219,327,0.442,0.442,,0.442,0.662,0.469
571,6-4,2013,2014,TOT,NBA,Diante Garrett\garredi02,90,0,1197,117,314,78,203,39,111,15,22,16,96,112,151,51,5,91,80,288,0.373,0.384,0.351,0.435,0.682,0.445
572,6-2,2000,2000,ORL,NBA,Kiwane Garris\garriki01,3,0,23,2,10,2,9,0,1,0,0,0,1,1,2,0,0,1,0,4,0.2,0.222,0,0.2,,0.2
573,6-9,2000,2008,ORL,NBA,Pat Garrity\garripa01,513,98,10524,1394,3373,770,1804,624,1569,388,475,317,1065,1382,425,238,101,397,1212,3800,0.413,0.427,0.398,0.506,0.817,0.53
574,7-1,2009,2018,MEM,NBA,Marc Gasol\gasolma01,716,709,24129,4038,8295,3813,7641,225,654,2549,3273,1262,4225,5487,2391,648,1072,1488,2095,10850,0.487,0.499,0.344,0.5,0.779,0.557
575,7-0,2002,2018,TOT,NBA,Pau Gasol\gasolpa01,1196,1144,40641,7938,15635,7765,15162,173,473,4727,6271,3063,8105,11168,3873,601,1926,2622,2603,20776,0.508,0.512,0.366,0.513,0.754,0.565
576,6-10,2000,2002,TOT,NBA,Chris Gatling\gatlich01,213,7,4290,825,1828,778,1658,47,170,504,718,324,775,1099,157,151,61,346,540,2201,0.451,0.469,0.276,0.464,0.702,0.513
577,6-8,2007,2018,TOT,NBA,Rudy Gay\gayru01,810,721,28046,5498,12135,4669,9721,829,2414,2690,3385,1193,3550,4743,1783,1053,654,1894,1984,14515,0.453,0.48,0.343,0.487,0.795,0.533
578,6-7,2017,2017,DET,NBA,Michael Gbinije\gbinimi01,9,0,32,1,10,1,6,0,4,2,2,2,1,3,2,0,0,0,2,4,0.1,0.167,0,0.1,1,0.184
579,6-6,2010,2017,TOT,NBA,Alonzo Gee\geeal01,417,213,9071,1001,2309,815,1737,186,572,566,751,389,971,1360,441,379,101,447,792,2754,0.434,0.469,0.325,0.474,0.754,0.522
580,7-0,2000,2002,PHI,NBA,Matt Geiger\geigema01,104,24,1984,349,821,349,815,0,6,147,196,207,325,532,53,41,32,118,269,845,0.425,0.428,0,0.425,0.75,0.466
581,6-7,2007,2013,TOT,NBA,Mickael Gelabale\gelabmi01,145,27,2348,263,560,220,424,43,136,101,124,107,223,330,115,50,35,92,186,670,0.47,0.519,0.316,0.508,0.815,0.545
582,6-8,2000,2010,TOT,NBA,Devean George\georgde01,630,108,11682,1318,3360,891,2114,427,1246,473,656,546,1429,1975,543,436,230,447,1270,3536,0.392,0.421,0.343,0.456,0.721,0.485
583,6-9,2011,2018,TOT,NBA,Paul George\georgpa01,527,479,17583,3351,7757,2210,4724,1141,3033,1981,2346,458,2805,3263,1682,901,233,1353,1423,9824,0.432,0.468,0.376,0.506,0.844,0.559
584,6-5,2017,2018,TOT,NBA,Marcus Georges-Hunt\georgma01,47,0,272,23,55,18,38,5,17,22,31,8,17,25,10,7,0,5,37,73,0.418,0.474,0.294,0.464,0.71,0.532
585,6-2,2007,2013,CLE,NBA,Daniel Gibson\gibsoda01,397,77,9316,1065,2646,487,1227,578,1419,407,522,142,650,792,775,243,86,373,811,3115,0.402,0.397,0.407,0.512,0.78,0.542
586,6-2,2017,2018,TOT,NBA,Jonathan Gibson\gibsojo01,21,0,271,49,118,28,61,21,57,21,29,1,24,25,30,8,0,24,26,140,0.415,0.459,0.368,0.504,0.724,0.535
587,6-9,2010,2018,TOT,NBA,Taj Gibson\gibsota01,667,327,17383,2695,5324,2684,5254,11,70,1085,1543,1568,2705,4273,676,370,769,820,1712,6486,0.506,0.511,0.157,0.507,0.703,0.54
588,6-5,2009,2010,TOT,NBA,J.R. Giddens\giddejr01,38,1,247,30,63,30,53,0,10,13,23,18,36,54,13,10,2,18,30,73,0.476,0.566,0,0.476,0.565,0.499
589,6-9,2010,2010,MEM,NBA,Trey Gilder\gildetr01,2,0,5,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,2,1,1,,1,,1
590,6-0,2001,2009,TOT,NBA,Eddie Gill\gilled01,187,9,2033,179,496,116,299,63,197,150,177,28,179,207,217,104,14,139,209,571,0.361,0.388,0.32,0.424,0.847,0.497
591,6-5,2000,2005,TOT,NBA,Kendall Gill\gillke01,324,219,8420,1198,3006,1137,2764,61,242,529,724,266,807,1073,669,387,91,392,735,2986,0.399,0.411,0.252,0.409,0.731,0.449
592,6-9,2000,2000,UTA,NBA,Armen Gilliam\gilliar01,50,0,782,133,305,133,304,0,1,67,86,72,137,209,42,12,16,55,83,333,0.436,0.438,0,0.436,0.779,0.486
593,6-6,2003,2018,SAS,NBA,Manu Ginobili\ginobma01,1057,349,26859,4584,10262,3089,6207,1495,4055,3380,4089,685,3012,3697,4001,1392,319,2116,2212,14043,0.447,0.498,0.369,0.52,0.827,0.582
594,6-6,2003,2008,TOT,NBA,Gordan Giricek\giricgo01,384,191,8824,1424,3225,1135,2439,289,786,533,648,167,774,941,584,222,47,517,749,3670,0.442,0.465,0.368,0.486,0.823,0.523
595,6-11,2012,2012,TOT,NBA,Mickell Gladness\gladnmi01,26,7,252,25,59,25,59,0,0,6,12,14,44,58,5,4,20,7,32,56,0.424,0.424,,0.424,0.5,0.436
596,6-5,2000,2005,TOT,NBA,Dion Glover\glovedi01,294,105,6132,914,2222,766,1755,148,467,431,570,213,684,897,455,233,65,370,487,2407,0.411,0.436,0.317,0.445,0.756,0.487
597,7-1,2007,2007,SEA,NBA,Andreas Glyniadakis\glynian01,13,4,81,8,17,8,17,0,0,1,2,2,6,8,1,0,0,9,19,17,0.471,0.471,,0.471,0.5,0.475
598,7-1,2014,2018,UTA,NBA,Rudy Gobert\goberru01,325,234,9084,1181,1924,1181,1921,0,3,878,1396,1003,2231,3234,384,210,708,511,794,3240,0.614,0.615,0,0.614,0.629,0.638
599,6-1,2001,2006,TOT,NBA,Anthony Goldwire\goldwan01,82,2,930,104,270,58,137,46,133,44,56,12,73,85,129,32,0,40,56,298,0.385,0.423,0.346,0.47,0.786,0.506
600,6-7,2006,2014,TOT,NBA,Ryan Gomes\gomesry01,487,371,13463,1891,4249,1557,3293,334,956,810,1014,617,1622,2239,712,351,78,550,942,4926,0.445,0.473,0.349,0.484,0.799,0.525
601,6-10,2003,2016,TOT,NBA,Drew Gooden\goodedr01,790,500,20127,3432,7435,3344,7093,88,342,1701,2239,1878,3740,5618,896,544,474,1158,1957,8653,0.462,0.471,0.257,0.468,0.76,0.514
602,6-10,2001,2002,TOT,NBA,Steve Goodrich\goodrst01,21,0,183,9,28,8,25,1,3,5,9,8,18,26,11,3,3,11,24,24,0.321,0.32,0.333,0.339,0.556,0.375
603,6-5,2014,2017,TOT,NBA,Archie Goodwin\goodwar01,165,15,2396,367,856,322,665,45,191,261,373,86,245,331,206,69,38,206,192,1040,0.429,0.484,0.236,0.455,0.7,0.51
604,6-9,2015,2018,ORL,NBA,Aaron Gordon\gordoaa01,263,174,6867,1135,2517,888,1718,247,799,486,696,403,1135,1538,447,204,162,300,519,3003,0.451,0.517,0.309,0.5,0.698,0.532
605,6-3,2005,2015,TOT,NBA,Ben Gordon\gordobe01,744,269,20366,3931,9092,2760,6171,1171,2921,2051,2394,333,1518,1851,1868,508,114,1551,1720,11084,0.432,0.447,0.401,0.497,0.857,0.546
606,6-9,2015,2015,PHI,NBA,Drew Gordon\gordodr01,9,0,71,8,19,8,16,0,3,1,2,7,11,18,2,1,0,8,7,17,0.421,0.5,0,0.421,0.5,0.428
607,6-4,2009,2018,TOT,NBA,Eric Gordon\gordoer01,561,443,18625,3187,7407,1946,4109,1241,3298,1779,2181,249,1172,1421,1713,535,187,1180,1101,9394,0.43,0.474,0.376,0.514,0.816,0.561
608,6-11,2008,2018,TOT,NBA,Marcin Gortat\gortama01,759,544,19940,3302,5982,3299,5962,3,20,1111,1638,1692,4454,6146,850,377,861,908,1683,7718,0.552,0.553,0.15,0.552,0.678,0.576
