"","Player","Year","RPM1","RPM2","RPM3","Pos","Age","Ht","G","MP","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OBPM","DBPM","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","PF","PTS","ORtg","DRtg"
"223","Allan Houston",2001,-0.7,0.2,-1.4,"SG",29,"78",80.6666666666667,3065.33333333333,0.560333333333333,0.197,0.26,1.3,9.26666666666667,5.4,12.8,1.06666666666667,0.3,11.3,24.5666666666667,1.86666666666667,-0.766666666666667,10.4333333333333,22.2,0.471666666666667,1.83333333333333,4.36666666666667,0.419847328244275,8.6,17.8333333333333,0.482242990654206,5,5.76666666666667,0.867052023121387,3.7,27.7,106.666666666667,104
"314","Allan Houston",2002,0.2,-1.4,-3.5,"SG",30,"78",79.8333333333333,3022.83333333333,0.5555,0.2095,0.259666666666667,1.3,9.28333333333333,5.38333333333333,12.7,1.05,0.3,11.1166666666667,24.8833333333333,1.75,-1,10.4333333333333,22.5833333333333,0.464,1.95,4.75,0.410526315789474,8.48333333333333,17.8333333333333,0.475700934579439,5.1,5.85,0.871794871794872,3.63333333333333,27.9333333333333,106,104.833333333333
"140","Allen Crabbe",2015,-2.4,-2.65,-0.48,"SG",22,"78",51,683,0.525,0.556,0.105,1.1,10.1,5.7,8.1,1.4,1.6,8.6,11.5,-1.3,1,4.7,11.4,0.412,2.2,6.3,0.349206349206349,2.5,5.1,0.490196078431373,0.9,1.2,0.75,5.5,12.5,108,105
"141","Allen Iverson",2000,4.8,3.8,2.8,"SG",24,NA,70,2853,0.496,0.151,0.358,2.7,7.7,5.2,23,2.6,0.1,10.3,34.4,3.4,-0.8,13.2,31.5,0.421,1.6,4.7,0.340425531914894,11.6,26.7,0.434456928838951,8,11.3,0.707964601769911,2.9,36.1,101,102
"142","Allen Iverson",2007,1.6,-0.7,-4.2,"SG-PG",31,NA,72.3333333333333,3081.5,0.537,0.158666666666667,0.445166666666667,1.63333333333333,7.96666666666667,4.78333333333333,35.3666666666667,2.58333333333333,0.216666666666667,12.6666666666667,34.3166666666667,4.76666666666667,-1.33333333333333,12.4333333333333,28.6,0.434666666666667,1.43333333333333,4.53333333333333,0.316176470588235,11,24.0666666666667,0.457063711911357,10.4333333333333,12.7,0.821522309711286,2.05,36.75,107.166666666667,107.166666666667
"143","Allen Iverson",2003,2.5,4.3,3.5,"SG",27,NA,69.1666666666667,2944.33333333333,0.505333333333333,0.164166666666667,0.378666666666667,1.96666666666667,8.93333333333333,5.5,24.8833333333333,3.33333333333333,0.433333333333333,10.5333333333333,36.0333333333333,4.25,-0.0333333333333333,13.3833333333333,32.4333333333333,0.411666666666667,1.6,5.3,0.30188679245283,11.7333333333333,27.15,0.432166973603438,9.9,12.25,0.808163265306122,2.36666666666667,38.2666666666667,103.833333333333,99.8333333333333
"144","Allen Iverson",2006,0.8,1.6,-0.7,"PG",30,NA,61,2595.16666666667,0.506833333333333,0.170833333333333,0.421833333333333,1.88333333333333,8.25,5.05,35.55,2.9,0.2,13.0666666666667,35.2833333333333,4.15,-0.883333333333333,12.1666666666667,29.7833333333333,0.409333333333333,1.51666666666667,5.06666666666667,0.299342105263158,10.65,24.7166666666667,0.430883344571814,9.9,12.5666666666667,0.787798408488064,2.21666666666667,35.75,101.5,104.333333333333
"224","Allen Iverson",2002,2.8,2.5,4.3,"SG",26,NA,68.6666666666667,2856.5,0.502166666666667,0.158666666666667,0.369833333333333,2.3,8.21666666666667,5.3,23.7666666666667,2.95,0.283333333333333,10.3166666666667,35.4666666666667,3.98333333333333,-0.4,13.4166666666667,32.2166666666667,0.416833333333333,1.63333333333333,5.06666666666667,0.322368421052632,11.75,27.1,0.433579335793358,9.1,11.9166666666667,0.763636363636364,2.66666666666667,37.6166666666667,102.666666666667,100.666666666667
"225","Allen Iverson",2005,3.5,0.8,1.6,"PG",29,NA,69.5,2951.5,0.498,0.168,0.396166666666667,2.11666666666667,8.96666666666667,5.48333333333333,30.2833333333333,3.21666666666667,0.25,12.4166666666667,34.05,3.38333333333333,-0.433333333333333,11.9666666666667,29.4666666666667,0.406666666666667,1.43333333333333,4.96666666666667,0.288590604026846,10.5333333333333,24.55,0.429056347589953,9.06666666666666,11.7,0.774928774928775,2.23333333333333,34.4333333333333,101,102.5
"226","Allen Iverson",2001,3.8,2.8,2.5,"SG",25,NA,70.3333333333333,2895,0.503333333333333,0.157,0.371,2.43333333333333,7.9,5.2,23,2.8,0.233333333333333,10.2,34.9,3.93333333333333,-0.566666666666667,13.3333333333333,31.7333333333333,0.420666666666667,1.63333333333333,4.93333333333333,0.331081081081081,11.6666666666667,26.7333333333333,0.43640897755611,8.8,11.8,0.745762711864407,2.8,37.1666666666667,102.666666666667,101
